"Respondent","price","ff2","ff3","feat2","feat3"
1,-0.376085396,-0.2941120863,0.3082811873,0.78874711,1.347667722
2,-2.01847667,0.0941759814,-0.1551423661,0.8147021112,2.543168072
3,-1.674577903,1.863033621,0.05269472028,0.2746560575,1.966613618
4,-1.020428958,0.9473917329,0.6756802966,3.200291592,0.1347021256
5,-1.019306741,2.378094798,0.364078325,1.854608543,1.711631869
6,-1.641600042,-0.4953882482,1.913124083,0.7655397044,1.278114503
7,-1.056401163,-0.05846705608,1.242871888,0.8447319466,3.145735795
8,-1.161004866,-0.5783388152,0.1161169237,-0.06704410815,3.771676965
9,-1.534271545,-1.302853623,1.008684877,2.014545984,2.559401298
10,-1.27226682,0.5259130886,0.6808063264,1.77875794,2.903354381
11,-1.578266546,-0.5296525915,1.411179516,2.155326311,1.618877752
12,-0.8084398222,0.7373577826,2.049745704,0.641339162,2.619989479
13,-1.390294788,0.2631235715,0.5079809587,-0.5938337231,2.284045502
14,-0.3972642957,-1.021166124,0.5940675729,2.194539158,2.060795877
15,-1.183800016,-0.4134991885,2.137283555,2.237413359,2.035907087
16,-1.78611784,-1.334663776,1.111209696,0.4635420542,2.966473592
17,-1.34855829,1.072097896,0.3295529144,1.663442924,3.312929112
18,-0.9916766424,0.9556378774,1.270746038,2.339521747,1.241032007
19,-1.115700206,-0.4556270822,0.3187392911,2.368312461,1.007879871
20,-1.409818382,-1.186239675,-0.8816285737,1.201152243,0.9165415011
21,-1.229425414,-0.1322839651,1.135962123,0.7420666991,2.986892394
22,-1.364158852,0.5249821791,0.7985331248,0.5488440867,3.012505392
23,-1.703500859,-1.443822517,1.955477091,0.8005096241,0.8731101331
24,-1.493212644,0.9343680264,-1.178720579,0.8483367612,1.962487163
25,-1.511741613,0.9236483087,1.475477028,2.205054579,2.052214561
26,-0.6652176783,-0.2205003765,1.100060055,0.6299043613,2.633668628
27,-1.075571354,1.196205396,-0.8724011825,1.414414219,1.596447243
28,-0.8937020024,0.5393336484,0.3517841545,0.5377570043,3.739947178
29,-1.110755918,-0.8805005315,2.103037948,1.457380008,1.682606844
30,-0.7006131971,2.030433452,1.310753785,0.09588445467,2.60927039
31,-1.225659444,1.65208225,1.062828031,0.3997099341,2.428152122
32,-1.117131478,-0.06739287188,2.13120462,1.231145077,2.193118531
33,-1.336763384,0.2761612844,2.103296042,1.91683783,0.1209660045
34,-0.5806910715,-0.4157483494,1.229965919,1.052005532,1.394569101
35,-1.341969518,0.6492336844,0.9445107288,2.108453628,1.230779752
36,-0.6327385554,-0.6203240336,-0.5737644503,0.3225592489,3.006557202
37,-1.144839178,-0.7539280342,0.7822733366,0.8730686147,2.764129385
38,-1.228891527,-1.344261611,0.6586133772,0.4993718752,3.308483363
39,-0.5724212462,-0.05410471481,0.01350528738,1.799212987,2.590691546
40,-0.9129100159,-0.4469808584,0.2829706102,0.5278529745,1.728411805
41,-1.824328577,-0.863966325,0.935295263,1.243437802,1.29151665
42,-1.87651431,-0.3026988856,1.013979378,0.5227279904,2.840576152
