"Respondent","RLH","Bx","By","EC"
1,0.636910455,-0.3309659201,0.8293946274,2.592705409
2,0.8814904253,0.7841096399,-1.270916128,-1.511653935
3,0.7023090177,0.4193959472,-1.397700479,-1.852318908
4,0.5665720246,1.246378507,-0.08934133788,1.191565806
5,0.6135273528,-0.9362138686,0.7109371456,-1.683824394
6,0.6893795357,1.278116505,-0.3734949327,2.842587633
7,0.6594593897,-0.3959428057,-1.399358608,1.759181603
8,0.6918391804,1.446348318,-0.6130868003,0.03704714229
9,0.7449722646,0.9690962027,0.9183571996,1.074639237
10,0.8563935487,0.7759109867,-1.583065083,0.4125268611
11,0.3197777346,0.7049614878,-0.3413557102,-0.04255104148
12,0.4148869451,0.7809220144,-0.4760325608,0.6983542737
13,0.8231688423,0.8964202791,-1.271537509,2.062576195
14,0.6357111071,1.207592576,-0.4392765081,3.210247219
15,0.3780381377,0.3957389892,0.5673052169,0.2286494531
16,0.7896233438,1.072346457,0.784137592,-0.2027550619
17,0.3985457974,0.5695900058,-0.3061401267,-2.493912758
18,0.6558842212,0.08785409575,0.8098730206,2.320993407
19,0.7159267647,-0.9330184729,-0.581460621,1.741542318
20,0.7613108169,1.13774112,0.5561266298,-2.084162572
21,0.8046127664,1.425588256,-0.7044152311,-1.342505203
22,0.7534091528,-0.7261366612,-0.8798745974,1.297264106
23,0.5589262973,-0.8611525435,-0.9608394835,-0.08663289787
24,0.8667608608,1.594527658,-0.4181221601,0.2821701192
25,0.7213886756,1.238993064,-0.3349921552,2.920366467
26,0.8067977497,1.201486598,-1.205579069,0.7206511323
27,0.8781009561,-0.4408634385,-0.3266699298,-3.838911277
28,0.8255705211,0.9742812811,-1.364473315,0.9657620093
29,0.5769775822,-0.6258866269,0.07196363304,3.164485911
30,0.9176059213,0.5428528059,-1.508107488,0.3019701514
31,0.6326652566,1.253472676,0.5991511753,-0.7223878348
32,0.8843175636,0.5476603181,-1.559259067,-0.05156539262
33,0.8843206271,0.220070743,1.016048455,1.717860229
34,0.883063573,1.482425966,-0.32576603,1.390527157
35,0.8534780367,1.513853526,-0.4736520944,-1.528217648
36,0.4820582428,-0.472663222,-0.9867656074,1.778845168
37,0.9333778041,1.443820431,-0.4161102711,1.128804429
38,0.5720136578,1.167919941,-0.8065428974,-2.03132574
39,0.8791713024,0.6856394187,-0.612238441,-3.370472077
40,0.7708901718,-0.1197218035,1.119846558,-0.4857048581
41,0.8431553103,0.5257015596,-0.4686328785,-3.740803332
42,0.4225285969,0.02241153034,-1.281973536,-0.5629076287
43,0.7369783985,1.30044199,-1.041006471,0.4626231453
44,0.5433660845,-0.03973840776,-0.791968805,-2.712407072
45,0.5037487464,0.3604010602,0.2743649539,3.639735543
46,0.8980996576,1.207193022,-1.129857247,0.684005823
47,0.8661400039,-1.023847744,0.2035764223,-1.79709268
48,0.7276657256,0.7531889958,-0.5765845222,3.795611847
49,0.6684501029,-0.8791170643,-0.4602596954,2.283348327
50,0.3354663132,0.4813051862,-0.3292038645,-1.009034354
51,0.876165883,0.649349787,-1.455571991,1.004483057
52,0.4155363964,-0.109222868,-1.122264961,0.6609047703
53,0.4735592062,0.7515154551,-0.5299856431,-2.010713497
54,0.773971954,0.6722175188,-1.545011127,-1.28834975
55,0.9056055786,1.371686263,-0.7377378661,0.611500681
56,0.8240972427,0.9253717377,-1.017788988,2.873593777
57,0.857035459,0.1946772431,-1.540387427,1.113977283
58,0.6272319593,-1.197328246,0.06469587261,-0.4183201861
59,0.6833004005,1.289560551,0.4431677847,-1.657905388
60,0.820978513,0.439636489,-1.572620538,1.042068059
61,0.6637104808,1.442504695,-0.6743751272,-1.301351519
62,0.8398794008,0.8910008848,-1.17047792,-2.209497838
63,0.6290422631,1.35996313,0.1962867243,-1.582454585
64,0.8410882692,-0.138421842,-0.2231753708,-4.443528261
65,0.2523469964,-0.1693520824,-0.1514869808,0.2748834288
66,0.7902813881,0.5341027053,-1.420292833,-2.067509834
67,0.6113440421,-0.8628871076,-0.1721363728,-2.245566951
68,0.8509660204,-1.147141925,0.1821716868,-0.6475899065
69,0.8637341169,0.7182319953,-0.6354375845,-3.505972801
70,0.8804616771,0.9447942121,-1.361331027,-0.5468773683
71,0.8203667568,-0.3327355408,-1.402621075,2.067195261
72,0.7847501242,-1.05972566,-0.01584436423,2.128775752
73,0.8667079425,0.1590766563,1.025428431,1.390990034
74,0.7301336249,-1.123737437,-0.5482804551,-0.5473888103
75,0.5728170448,1.051669329,0.3404176662,1.123538452
76,0.5965477392,0.497375757,1.115112645,0.1684700726
77,0.5597584958,1.035728107,-0.7292880837,2.049415802
78,0.7913030236,1.204228815,0.7704814986,1.671742854
79,0.4240589662,-0.6482571438,-0.4639688614,-0.4167082421
80,0.3837387671,-0.492427037,0.2168232839,-1.868068714
81,0.8499685854,0.5573244759,-0.4830437856,-4.110751966
82,0.8371474853,0.3823157172,-1.168573606,2.933992264
83,0.5451225631,-0.2166529294,0.5047724623,3.248623953
84,0.4647299233,0.5888696852,-0.3650952358,3.187831105
85,0.8322775118,1.53736134,-0.9107276426,0.7289786874
86,0.7819378404,-0.1664702406,-0.917872806,3.11277126
87,0.8202886505,-1.103275827,0.1159396874,1.344180078
88,0.8794241782,1.359701916,-0.7441879206,1.463110158
89,0.6918560281,0.3536611276,1.0015107,1.863057378
90,0.5614267349,-1.00316403,0.3030802075,-1.694662065
91,0.3332199609,-0.242724694,0.4439422393,-0.4265047917
92,0.6146434174,1.014569009,-0.9528887397,1.665095776
93,0.8991673074,0.5631754717,-1.525451947,0.3728732021
94,0.8144777803,0.1200097686,1.10754555,-2.344985898
95,0.9208629878,1.106126489,-1.138745805,0.7830742882
96,0.72460772,0.2255814494,-0.9209479391,-3.724597103
97,0.6842976052,0.8286951861,0.7444724682,-2.363633569
98,0.631755219,-0.9983636802,-0.7645212456,-1.182657049
99,0.7970959894,1.474170532,0.3736416675,-0.9712796578
100,0.9201814036,1.011371742,-1.212077578,1.237501326
