"Respondent","ASC1","BTime","BCost"
8738,1.20581275,-0.01179603928,-0.675083325
8740,1.238472424,-0.02762843733,-0.5491288022
8741,0.6370424044,-0.5579264586,-0.4927553302
8742,1.144655545,-0.2714889299,-0.6626108969
8744,0.2957143588,0.006948439408,-0.5076354987
8745,1.002386952,-0.2944913112,-0.5573712591
8746,0.8867415926,0.1557711075,-0.6231310978
8750,0.8252696766,-0.3280777925,-0.6374555083
8751,1.040906743,-0.2615387437,-0.8423237687
8752,1.077543929,-0.4822884061,-0.6066144353
8755,0.901394297,-0.04563936972,-0.7452679205
8759,0.847721297,-0.08729733301,-0.6928354754
8762,0.9238056596,0.177630417,-0.6071980073
8763,1.116369729,-0.3180913008,-0.5021390452
8766,0.9653438193,-0.2757466345,-0.5811518881
8771,1.007957976,-0.2774654852,-0.6855660767
8774,0.8400433602,0.1906448916,-0.5944316179
8775,1.076638032,0.1801320822,-0.619122768
8778,1.320775114,-0.3599703768,-0.5101887427
8779,1.124692317,-0.1519640493,-0.3388855541
8780,0.6448643866,-0.01089537696,-0.4662615461
8787,1.021012578,0.1691462179,-0.6397549871
8800,1.102699918,-0.2443328982,-0.7398066897
8804,1.187043077,-0.3478212306,-0.7099620517
8806,0.9785754451,0.03523382393,-0.4067866629
8808,0.84313956,0.1997672248,-0.5934688277
8814,0.7847552602,-0.4521760237,-0.5777346326
8815,1.118126472,-0.2660784481,-0.7884658334
8816,1.059147655,-0.4852888616,-0.5430160784
8826,0.7806122974,0.1765332111,-0.5786523349
8829,0.9477474525,-0.2502613637,-0.7537969381
8830,1.012871805,-0.416437135,-0.5886611144
8831,0.9037063354,0.1999016998,-0.5959923906
8836,0.9093269096,-0.1650635384,-0.4755487266
8838,0.8131146149,0.178205892,-0.5905486174
8841,1.00229044,-0.5136241133,-0.5499936592
8844,1.127967135,-0.2609085852,-0.6646427329
8852,0.8298197877,-0.5710615527,-0.5209296862
8854,0.7150627499,-0.5506646038,-0.5902802379
8855,0.6359424895,-0.3213072904,-0.4457792536
8856,0.978312972,0.02576045051,-0.6783146787
8858,1.045718894,0.1416071563,-0.6715172307
8864,0.683558031,-0.02986195445,-0.6333860195
8866,1.082845728,-0.4894566772,-0.5407973508
8867,1.156408288,-0.1243806709,-0.7908204152
8868,0.8973147987,-0.3771219312,-0.4490506706
8873,1.112947779,-0.4597212522,-0.5779998428
8877,1.356942454,-0.4264178314,-0.6867207988
8879,0.9506047071,-0.2079128567,-0.8798682542
