ID	choices	x1	xprice	y1	yprice
1	2	0	4	1	1
1	2	1	2	0	1
1	1	1	1	0	4
1	1	0	3	0	2
2	1	0	3	1	1
2	1	0	5	1	5
2	2	1	2	1	2
2	1	0	1	1	1
3	2	1	3	0	0
3	2	1	3	0	4
3	1	0	0	1	4
3	1	0	3	1	4
4	2	0	4	1	1
4	2	0	1	1	4
4	2	1	3	1	4
4	2	1	5	0	2
5	1	1	0	1	5
5	2	1	2	1	2
5	1	1	2	1	5
5	1	1	0	0	5
6	2	0	5	0	2
6	1	1	1	1	3
6	2	0	1	1	5
6	2	0	4	0	5
7	2	1	3	1	4
7	1	1	3	1	3
7	2	0	3	1	1
7	2	0	3	0	2
8	1	0	4	1	4
8	1	0	1	0	4
8	1	1	1	1	4
8	1	0	3	1	3
9	2	0	4	0	3
9	1	1	4	1	4
9	2	0	2	0	0
9	1	0	3	1	2
10	2	1	5	1	1
10	1	0	2	0	2
10	2	0	4	1	1
10	2	1	5	0	2
11	1	0	1	1	1
11	2	1	0	0	3
11	1	0	2	1	3
11	2	1	4	1	1
12	1	1	2	1	2
12	1	0	1	0	3
12	2	1	1	1	4
12	1	0	2	0	4
13	2	0	3	1	3
13	2	1	3	0	4
13	2	0	3	1	2
13	1	0	4	1	4
14	2	0	2	0	2
14	1	0	4	1	5
14	2	0	4	0	1
14	2	1	3	0	3
15	2	1	4	0	5
15	1	0	1	0	3
15	2	1	2	1	4
15	2	1	1	0	3
16	1	0	4	1	4
16	1	1	4	0	1
16	1	0	1	0	1
16	2	1	4	1	2
17	2	0	4	0	3
17	1	1	2	1	2
17	2	1	2	0	1
17	2	1	2	1	2
18	2	1	2	0	4
18	1	0	4	0	3
18	2	1	5	1	3
18	1	0	1	1	2
19	2	0	1	1	5
19	1	1	2	1	3
19	1	1	4	1	3
19	1	0	3	1	2
20	2	1	2	1	0
20	2	1	4	1	2
20	1	0	4	1	2
20	2	1	5	0	4
21	1	0	2	1	5
21	1	1	1	1	5
21	2	1	2	0	4
21	2	1	5	1	3
22	1	0	3	1	4
22	2	0	4	1	1
22	2	0	2	0	1
22	1	0	1	1	5
23	2	1	2	0	2
23	1	1	0	0	4
23	1	1	0	1	3
23	2	1	4	0	3
24	1	0	2	1	1
24	1	0	2	1	5
24	2	0	5	1	0
24	2	1	4	1	2
25	1	0	2	0	5
25	1	0	2	0	2
25	1	0	2	0	3
25	1	1	4	1	3
26	2	0	3	1	4
26	2	0	2	1	2
26	1	1	5	1	1
26	2	1	3	0	2
27	2	0	2	1	3
27	2	0	0	1	3
27	1	0	2	1	2
27	2	1	2	0	4
28	2	0	3	0	2
28	2	0	2	1	2
28	1	1	0	1	1
28	2	1	2	1	5
29	2	1	3	1	4
29	1	1	4	0	4
29	1	1	3	0	4
29	2	0	4	1	1
30	1	0	1	1	4
30	1	0	5	1	3
30	1	1	1	0	2
30	1	1	4	0	4
31	2	1	4	0	3
31	1	0	1	0	1
31	2	1	3	0	5
31	1	0	3	1	1
32	2	1	4	1	2
32	2	0	2	1	1
32	2	0	3	1	1
32	2	1	2	1	1
33	2	0	0	1	0
33	1	1	1	0	4
33	1	1	0	1	3
33	1	0	4	0	5
34	2	1	0	0	3
34	2	1	2	0	4
34	2	1	4	0	0
34	2	0	4	0	4
35	1	1	4	0	4
35	2	0	0	0	2
35	1	1	3	0	3
35	2	1	5	0	3
36	2	1	1	1	5
36	2	0	4	0	1
36	2	0	3	1	2
36	1	1	4	1	2
37	1	1	2	1	5
37	2	1	2	0	5
37	2	0	5	0	3
37	1	1	5	0	4
38	2	1	3	0	3
38	1	0	4	1	2
38	2	1	2	0	3
38	2	1	2	1	1
39	1	0	2	1	1
39	2	1	4	1	4
39	1	1	1	0	3
39	1	1	2	1	4
40	1	1	1	1	4
40	1	0	2	1	4
40	2	0	4	0	4
40	2	1	1	0	4
41	2	1	4	1	5
41	1	1	0	0	0
41	2	0	5	0	3
41	1	1	1	1	1
42	2	1	3	1	1
42	1	0	4	1	3
42	2	1	4	1	3
42	2	1	2	0	5
43	2	1	4	0	3
43	2	1	2	1	2
43	2	1	4	1	3
43	1	1	3	1	0
44	1	1	2	0	5
44	2	0	4	0	2
44	1	1	2	1	3
44	2	1	4	0	1
45	2	0	3	0	3
45	1	1	3	1	3
45	2	1	3	1	5
45	2	1	4	0	4
46	2	1	4	0	4
46	1	0	5	0	1
46	1	0	2	0	5
46	2	0	4	0	2
47	1	1	2	0	2
47	1	1	1	0	3
47	2	1	1	0	0
47	1	0	2	0	5
48	1	0	2	1	3
48	1	0	0	1	3
48	2	1	4	1	4
48	1	1	1	1	3
49	2	0	2	0	3
49	1	0	1	1	4
49	1	1	2	0	3
49	2	1	5	1	2
50	2	1	3	0	4
50	1	1	2	1	2
50	2	1	4	1	2
50	2	1	2	1	0
51	2	1	4	1	3
51	2	0	4	0	1
51	2	1	1	0	0
51	1	0	2	0	4
52	2	0	4	1	0
52	1	1	3	0	4
52	2	1	4	0	4
52	1	0	1	1	2
53	2	0	5	1	3
53	2	1	5	0	4
53	2	1	2	1	3
53	1	0	3	0	3
54	1	0	2	1	4
54	2	1	5	0	5
54	1	0	2	0	5
54	1	0	2	1	4
55	2	1	2	1	3
55	1	0	0	1	2
55	1	1	2	0	3
55	1	1	2	0	4
56	1	0	3	0	2
56	2	1	0	0	3
56	1	1	3	0	3
56	1	0	1	0	0
57	1	0	4	1	3
57	1	1	3	1	3
57	1	1	0	1	4
57	1	0	4	1	5
58	2	0	4	0	3
58	1	1	1	0	4
58	1	0	0	0	1
58	2	1	4	1	0
59	2	1	0	0	3
59	2	1	1	1	4
59	1	0	3	1	4
59	1	1	2	1	1
60	2	1	3	0	2
60	2	1	5	0	3
60	2	1	4	1	3
60	1	0	2	0	5
61	2	0	3	1	0
61	1	1	4	1	1
61	2	1	2	1	1
61	1	0	1	1	1
62	2	1	3	0	1
62	1	0	1	1	4
62	2	1	4	1	4
62	2	0	1	0	2
63	2	1	1	0	2
63	2	0	1	0	3
63	2	0	2	0	1
63	1	0	4	0	2
64	1	1	4	0	4
64	1	0	4	1	3
64	1	0	5	1	0
64	2	1	5	0	2
65	2	1	1	0	2
65	2	0	5	0	1
65	1	1	3	0	5
65	1	0	1	0	1
66	2	1	3	0	1
66	1	1	2	1	3
66	1	0	3	1	2
66	2	1	4	1	1
67	2	0	4	0	1
67	2	0	5	0	0
67	1	0	2	1	0
67	2	1	3	0	3
68	1	1	0	1	5
68	2	1	1	0	0
68	1	0	2	0	3
68	2	1	3	0	0
69	1	0	1	1	3
69	1	0	2	1	4
69	1	1	2	1	2
69	2	0	2	0	2
70	2	1	2	1	1
70	1	0	3	0	4
70	2	1	4	0	1
70	2	1	4	0	0
71	1	1	0	1	3
71	2	0	4	1	5
71	1	1	0	0	0
71	2	1	4	0	2
72	1	0	3	0	1
72	1	1	3	0	3
72	1	1	2	0	3
72	2	1	4	1	5
73	2	0	3	1	1
73	1	1	0	0	2
73	1	0	2	1	4
73	1	1	1	1	4
74	2	1	3	1	5
74	1	0	4	1	4
74	1	1	1	0	3
74	1	1	0	0	5
75	1	1	1	0	4
75	1	1	3	0	2
75	2	1	1	1	1
75	1	1	3	0	4
76	1	0	1	0	4
76	2	1	2	0	4
76	1	0	1	0	1
76	2	1	5	0	4
77	2	1	4	1	2
77	1	1	0	0	1
77	1	1	3	1	3
77	1	0	1	0	0
78	1	1	0	0	3
78	1	1	0	0	4
78	2	0	2	1	3
78	2	0	5	0	3
79	1	1	0	0	4
79	1	0	4	1	2
79	2	0	4	0	1
79	2	0	3	1	2
80	1	0	2	1	4
80	1	0	4	0	2
80	2	1	2	1	3
80	2	0	2	1	2
81	2	1	2	0	2
81	1	1	3	0	4
81	1	0	0	1	2
81	2	1	3	1	1
82	2	1	1	0	2
82	1	1	1	1	1
82	1	1	4	0	3
82	1	0	5	1	5
83	1	1	4	1	3
83	2	1	4	1	3
83	1	1	1	1	4
83	1	0	2	0	1
84	1	0	0	1	5
84	1	1	2	1	4
84	2	0	2	0	5
84	2	1	4	0	0
85	2	1	1	0	3
85	2	1	3	0	0
85	2	0	4	0	0
85	2	1	3	0	3
86	2	1	5	1	1
86	1	0	4	1	4
86	1	1	0	1	5
86	1	0	2	1	2
87	1	1	4	0	5
87	2	0	3	0	4
87	2	1	3	1	4
87	2	0	4	0	2
88	1	1	3	0	4
88	1	1	1	0	4
88	1	0	2	1	4
88	2	1	3	0	4
89	2	0	1	0	4
89	2	1	1	1	3
89	1	1	4	1	5
89	1	1	1	1	2
90	2	0	5	0	2
90	2	1	1	0	1
90	2	1	3	0	0
90	1	1	1	0	3
91	2	1	5	0	4
91	2	1	2	1	5
91	2	1	4	1	4
91	1	0	3	0	5
92	2	0	1	0	2
92	2	1	4	0	0
92	2	1	5	0	2
92	1	0	3	0	4
93	2	1	0	0	1
93	1	0	5	1	5
93	2	1	1	0	2
93	2	1	3	1	2
94	1	0	0	0	2
94	2	0	1	0	0
94	1	1	1	0	3
94	1	1	1	1	2
95	1	1	2	1	4
95	1	1	0	1	4
95	2	0	3	0	0
95	1	1	3	0	4
96	1	0	1	0	4
96	1	0	2	1	1
96	2	1	2	0	0
96	2	0	4	1	5
97	2	1	1	1	4
97	1	0	1	1	4
97	2	1	4	1	1
97	2	1	4	0	3
98	1	0	2	1	1
98	1	1	1	0	5
98	1	1	1	1	5
98	2	0	5	1	2
99	2	0	3	0	3
99	2	0	4	1	1
99	2	1	3	1	1
99	2	1	0	1	3
100	1	0	2	0	3
100	1	1	2	1	4
100	2	1	2	1	1
100	2	0	3	1	1
101	2	0	5	1	4
101	1	0	3	1	2
101	2	1	1	1	0
101	2	1	2	0	3
102	2	1	2	0	2
102	2	1	0	0	4
102	1	0	3	1	3
102	2	1	4	1	1
103	2	1	1	0	3
103	2	0	4	1	1
103	2	1	1	0	2
103	1	0	4	0	2
104	1	1	3	1	4
104	1	0	3	0	4
104	1	0	0	0	3
104	2	1	5	0	4
105	2	1	1	0	4
105	1	0	0	1	2
105	1	0	1	0	1
105	2	1	1	0	1
106	2	0	4	1	2
106	1	0	2	1	4
106	1	0	2	1	1
106	1	1	2	1	2
107	2	1	1	0	1
107	1	1	2	1	3
107	2	0	2	0	3
107	1	0	3	0	1
108	1	0	3	1	4
108	1	1	2	1	3
108	1	0	0	1	3
108	1	0	1	0	4
109	2	1	3	1	1
109	2	0	5	1	1
109	1	0	1	0	3
109	1	0	4	1	2
110	2	1	5	0	2
110	2	0	0	0	5
110	1	1	1	1	3
110	1	1	3	1	4
111	1	0	4	0	1
111	2	0	1	0	1
111	2	1	1	1	2
111	2	1	5	1	3
112	2	1	1	1	1
112	1	0	1	1	0
112	2	1	1	0	3
112	2	1	2	0	0
113	2	0	4	1	1
113	2	1	3	0	3
113	2	0	1	0	3
113	2	1	4	0	2
114	2	0	1	0	1
114	2	1	0	0	4
114	2	1	4	1	4
114	1	1	3	1	2
115	1	1	2	1	5
115	2	1	5	0	0
115	1	1	1	1	4
115	2	1	1	0	4
116	1	0	0	0	5
116	1	1	2	0	3
116	1	0	2	1	4
116	2	1	1	0	2
117	2	0	4	0	1
117	2	1	1	0	3
117	2	0	4	0	0
117	2	0	4	0	3
118	2	1	1	1	3
118	2	0	3	0	3
118	2	1	5	0	4
118	2	1	5	0	0
119	1	1	3	1	3
119	2	1	4	1	4
119	1	1	0	1	3
119	2	1	2	0	0
120	1	1	2	1	2
120	2	1	3	1	2
120	2	1	4	0	2
120	1	0	0	0	1
121	1	0	0	0	2
121	2	1	1	0	4
121	1	1	1	0	2
121	2	1	4	0	2
122	2	1	1	1	0
122	2	1	1	1	1
122	2	1	4	0	1
122	1	0	1	1	4
123	2	0	2	0	1
123	1	0	2	0	1
123	2	1	1	0	1
123	1	1	4	1	3
124	2	1	2	0	1
124	2	0	2	0	0
124	1	1	2	1	3
124	1	0	2	1	4
125	1	1	1	1	5
125	1	1	3	1	5
125	1	0	0	0	3
125	1	0	4	1	4
126	2	0	4	1	2
126	1	1	2	0	4
126	1	1	0	0	5
126	1	1	1	1	4
127	1	0	4	0	4
127	2	1	3	0	2
127	2	1	2	0	2
127	1	0	1	1	1
128	1	0	3	1	4
128	2	1	2	0	2
128	2	1	2	0	4
128	2	0	2	0	1
129	1	0	1	1	4
129	1	1	1	1	2
129	1	1	1	1	2
129	1	0	3	1	4
130	2	1	3	0	4
130	1	0	4	1	4
130	2	1	3	0	2
130	1	1	0	0	1
131	2	0	3	0	1
131	1	0	4	0	4
131	2	1	3	1	2
131	2	0	3	1	3
132	2	1	1	1	1
132	2	0	3	1	1
132	1	0	1	1	1
132	1	1	0	0	1
133	1	0	1	0	2
133	2	0	4	0	4
133	1	0	2	1	1
133	2	1	4	1	2
134	1	1	1	0	1
134	1	1	1	0	1
134	2	0	2	0	0
134	1	0	1	1	3
135	2	0	1	1	3
135	1	1	3	1	1
135	1	0	1	0	1
135	1	0	0	1	2
136	1	0	1	1	1
136	2	1	3	0	3
136	2	1	3	1	1
136	1	0	4	1	4
137	2	1	1	1	5
137	1	0	1	0	2
137	1	0	2	1	1
137	1	0	3	0	4
138	2	1	2	0	0
138	1	0	0	0	1
138	1	0	3	0	1
138	2	1	1	1	4
139	2	1	1	0	3
139	1	1	4	1	4
139	1	0	0	0	4
139	2	0	4	0	2
140	1	0	0	1	1
140	1	0	1	1	1
140	1	0	2	1	0
140	1	0	4	0	0
141	2	1	2	0	0
141	2	1	4	0	2
141	2	0	2	0	4
141	2	0	2	0	1
142	1	0	0	1	0
142	1	0	2	1	2
