"Respondent","Bx","By"
1,0.594551303492743,0.481428819582391
2,0.530778589156615,0.465924658065362
3,0.407588105095023,0.488429979549304
4,0.437993547796636,0.642495116958765
5,0.702959068988905,0.343065472735634
6,0.536844420528002,0.467382044958361
7,0.459165208012177,0.283889821216055
8,0.520908368145771,0.463562156606753
9,0.298426750695504,0.482921574043822
10,0.629205015910012,0.709865989636924
11,0.524777612806067,0.641533858557371
12,0.337442946615071,0.25948888816411
13,0.701149614650708,0.482075177184107
14,0.42463114213237,0.621900035441909
15,0.626390200858292,0.425736154084273
16,0.46837734972539,0.458546656645318
17,0.405161978979502,0.387105826746982
18,0.614696069412003,0.616353752824992
19,0.615070045059201,0.436451534507247
20,0.734795481549809,0.489881192296752
21,0.189175898991678,0.407346580091511
22,0.667316005717769,0.457393435735208
23,0.524001918239226,0.330961996175516
24,0.639516997082431,0.568694276474575
25,0.730738121338847,0.295716806600257
26,0.524484233599223,0.318328527631672
27,0.305479591105481,0.569867790695486
28,0.239932391215768,0.38854442837528
29,0.608400070111342,0.465028944458567
30,0.40185613860036,0.564554304400262
31,0.662253617821457,0.63344499541333
32,0.587301994882573,0.390168397327831
33,0.665679383515872,0.306951076897827
34,0.538810245336366,0.680847288072651
35,0.464527183792708,0.623797347713848
36,0.640435313783549,0.534674108784531
37,0.398450622747684,0.607381232127772
38,0.516582415305729,0.626916456203627
39,0.434408567868728,0.660082981748198
40,0.457422543714957,0.740228524442744
41,0.231574518559383,0.531874112554382
42,0.596048413066141,0.345956770327719
43,0.550842691277911,0.673829910202116
44,0.657406812984225,0.493618937921411
45,0.178401405587774,0.239351114904212
46,0.405757308626848,0.567386016685275
47,0.557243553395888,0.263560111467523
48,0.608679294987475,0.622535639554177
49,0.649913803403425,0.675675077579961
50,0.504109059648931,0.348098162720673
51,0.654004626660496,0.677995865827892
52,0.522386310884946,0.489489991384067
53,0.618441332251486,0.622518615732502
54,0.582861654359216,0.33187927229124
55,0.366848134420962,0.242953641880622
56,0.652670512184153,0.511200359596403
57,0.723447976234831,0.699350410545554
58,0.50076648953504,0.410152211881164
59,0.277487411266706,0.563050984400712
60,0.538419324704238,0.610879084550342
61,0.478111989764976,0.299927397843724
62,0.64728202869944,0.570524212504087
63,0.279763398075736,0.510367521575769
64,0.623860939082193,0.611171252948429
65,0.419059464151562,0.512211992063903
66,0.519162518477902,0.476250838175547
67,0.516302676314481,0.589996366375591
68,0.489525034518631,0.245830680095918
69,0.388439128432307,0.571508562852439
70,0.300171181880965,0.264445795030685
71,0.638342169496612,0.393700454643607
72,0.645088914240933,0.337037315424253
73,0.148990394141353,0.217109583474336
74,0.327932437297753,0.397489656470125
75,0.646230857472963,0.376784447212092
